Time(s);IntInt
648.00;33.86
651.00;32.25
654.00;30.81
657.00;30.05
660.00;36.31
663.00;32.39
666.00;33.45
669.00;34.47
672.00;29.45
675.00;31.25
678.00;27.46
681.00;26.07
684.00;31.25
687.00;28.13
690.00;24.60
693.00;23.64
696.00;23.53
699.00;24.31
702.00;25.33
705.00;21.73
708.00;20.26
711.00;22.14
714.00;20.89
717.00;19.07
720.00;21.45
723.00;16.89
726.00;19.34
729.00;18.74
732.00;12.69
735.00;17.33
738.00;15.08
741.00;11.71
744.00;13.22
747.00;9.90
750.00;9.36
753.00;11.48
756.00;7.53
759.00;6.97
762.00;7.09
765.00;6.55
768.00;8.40
771.00;9.34
774.00;9.34
777.00;9.73
780.00;7.37
783.00;7.93
786.00;5.32
789.00;6.42
792.00;8.26
795.00;5.60
798.00;5.72
801.00;8.46
804.00;6.82
807.00;8.52
810.00;5.86
813.00;6.67
816.00;7.95
819.00;5.93
822.00;6.16
825.00;4.75
828.00;6.13
831.00;5.76
834.00;5.08
837.00;4.95
840.00;5.89
843.00;6.21
846.00;6.13
849.00;7.13
852.00;8.89
855.00;7.47
858.00;7.70
861.00;7.60
864.00;6.52
867.00;7.96
870.00;9.40
873.00;9.79
876.00;7.90
879.00;6.66
882.00;5.03
885.00;4.56
888.00;3.55
891.00;4.19
894.00;3.75
897.00;3.30
900.00;3.72
903.00;4.60
906.00;4.46
909.00;5.35
912.00;7.96
915.00;4.92
918.00;3.32
921.00;3.63
924.00;3.94
927.00;2.99
930.00;4.22
933.00;4.82
936.00;4.40
939.00;4.13
942.00;4.70
945.00;4.26
948.00;3.07
951.00;2.65
954.00;3.59
957.00;3.51
960.00;2.93
963.00;4.27
966.00;3.78
969.00;3.20
972.00;3.56
975.00;4.43
978.00;4.69
981.00;4.27
984.00;3.42
987.00;4.01
990.00;4.25
993.00;3.16
996.00;3.46
999.00;4.83
1002.00;3.97
1005.00;4.30
1008.00;3.30
1011.00;3.46
1014.00;3.12
1017.00;3.77
1020.00;3.49
1023.00;4.74
1026.00;3.54
1029.00;4.01
1032.00;5.05
1035.00;3.94
1038.00;4.96
1041.00;3.67
1044.00;6.22
1047.00;5.75
1050.00;3.31
1053.00;5.45
1056.00;4.06
1059.00;5.05
1062.00;5.14
1065.00;5.01
1068.00;3.09
1071.00;5.70
1074.00;5.04
1077.00;5.02
1080.00;3.56
1083.00;5.42
1086.00;3.19
1089.00;5.26
1092.00;5.39
1095.00;5.03
1098.00;4.15
1101.00;7.15
1104.00;7.21
1107.00;4.03
1110.00;7.20
1113.00;6.97
1116.00;5.35
1119.00;5.67
1122.00;7.52
1125.00;4.66
1128.00;4.22
1131.00;4.63
1134.00;5.85
1137.00;6.24
1140.00;6.35
1143.00;5.22
1146.00;5.51
1149.00;6.44
1152.00;4.90
1155.00;4.53
1158.00;5.70
1161.00;4.68
1164.00;5.12
1167.00;5.99
1170.00;5.39
1173.00;5.72
1176.00;6.12
1179.00;4.50
1182.00;3.73
1185.00;5.19
1188.00;5.76
1191.00;5.43
1194.00;4.13
1197.00;5.86
