Time(s);IntInt
453.00;7.47
456.00;8.47
459.00;8.25
462.00;11.04
465.00;13.26
468.00;11.80
471.00;13.78
474.00;12.02
477.00;9.36
480.00;9.76
483.00;5.86
486.00;6.98
489.00;6.39
492.00;8.99
495.00;11.63
498.00;6.74
501.00;4.27
504.00;6.55
507.00;8.59
510.00;5.38
513.00;3.20
516.00;3.63
519.00;1.98
522.00;2.91
525.00;2.62
528.00;4.81
531.00;4.24
534.00;3.84
537.00;3.80
540.00;2.85
543.00;6.08
546.00;2.75
549.00;11.26
552.00;4.94
555.00;7.11
558.00;9.94
561.00;11.27
564.00;4.28
567.00;7.11
570.00;4.72
573.00;4.00
576.00;4.27
579.00;2.90
582.00;2.71
585.00;3.98
588.00;4.73
591.00;3.68
594.00;4.91
597.00;2.81
600.00;3.22
603.00;4.93
606.00;3.27
609.00;3.74
612.00;6.02
615.00;5.07
618.00;2.93
621.00;5.77
624.00;4.15
627.00;6.90
630.00;4.08
633.00;4.03
636.00;8.32
639.00;8.77
642.00;9.72
645.00;10.66
648.00;8.52
651.00;5.19
654.00;4.88
657.00;6.35
660.00;5.47
663.00;5.92
666.00;10.35
669.00;5.48
672.00;4.82
675.00;2.02
678.00;2.79
681.00;2.99
684.00;2.41
687.00;2.08
690.00;1.77
693.00;1.68
696.00;1.05
699.00;2.26
702.00;2.98
705.00;2.23
708.00;1.98
711.00;1.49
714.00;0.29
717.00;0.62
720.00;2.77
723.00;2.14
726.00;1.82
729.00;0.11
732.00;0.85
735.00;1.65
738.00;3.75
741.00;6.48
744.00;3.67
747.00;3.14
750.00;2.93
753.00;3.15
756.00;2.57
759.00;3.35
762.00;1.56
765.00;5.57
768.00;4.61
771.00;4.28
774.00;5.30
777.00;3.43
780.00;5.18
783.00;5.78
786.00;5.48
789.00;5.37
792.00;6.03
795.00;7.30
798.00;5.93
801.00;6.41
804.00;7.26
807.00;4.68
810.00;4.42
813.00;6.59
816.00;4.75
819.00;7.42
822.00;8.40
825.00;7.55
828.00;6.05
831.00;7.82
834.00;11.87
837.00;6.95
840.00;6.53
843.00;7.96
846.00;8.89
849.00;9.37
852.00;9.05
855.00;6.19
858.00;6.87
861.00;8.84
864.00;7.25
867.00;5.79
870.00;6.84
873.00;7.71
876.00;5.00
879.00;8.88
882.00;5.75
885.00;6.72
888.00;8.23
891.00;8.69
894.00;7.29
897.00;5.98
900.00;7.25
903.00;7.07
906.00;8.71
909.00;7.38
912.00;9.33
915.00;8.44
918.00;8.83
921.00;8.47
924.00;4.59
927.00;7.77
930.00;7.81
933.00;6.94
936.00;8.94
939.00;7.36
942.00;4.83
945.00;7.75
948.00;8.30
951.00;9.45
954.00;7.63
957.00;5.31
960.00;7.81
963.00;8.16
966.00;5.78
969.00;9.42
972.00;7.52
975.00;7.15
978.00;5.31
981.00;4.93
984.00;3.70
987.00;4.63
990.00;6.86
993.00;4.92
996.00;3.54
999.00;6.03
1002.00;5.34
1005.00;5.03
1008.00;4.18
1011.00;7.37
1014.00;9.13
1017.00;7.21
1020.00;6.67
1023.00;5.68
1026.00;6.12
1029.00;5.19
1032.00;7.03
1035.00;5.02
1038.00;5.30
1041.00;3.81
1044.00;9.30
1047.00;4.57
1050.00;9.13
1053.00;8.69
1056.00;6.13
1059.00;8.06
1062.00;6.49
1065.00;5.05
1068.00;6.72
1071.00;4.52
1074.00;4.40
1077.00;4.46
1080.00;4.46
1083.00;1.88
1086.00;1.58
1089.00;4.08
1092.00;0.34
1095.00;0.57
1098.00;3.08
1101.00;3.57
1104.00;0.50
1107.00;1.92
1110.00;3.47
1113.00;2.69
1116.00;1.39
1119.00;3.23
1122.00;4.40
1125.00;1.61
1128.00;2.67
1131.00;4.58
1134.00;2.86
1137.00;2.15
1140.00;2.36
1143.00;2.75
1146.00;0.91
1149.00;3.39
1152.00;3.73
1155.00;3.20
1158.00;1.86
1161.00;1.71
1164.00;4.07
1167.00;2.92
1170.00;3.78
1173.00;3.40
1176.00;2.37
1179.00;3.81
1182.00;3.76
1185.00;2.99
1188.00;2.43
1191.00;3.25
1194.00;2.91
1197.00;1.21
